ts_s,frame,joint_id,joint_name,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w,confidence
0.043921,1,0,Pelvis,0.111980,0.656009,-0.444098,0.132257,-0.100811,-0.027617,0.985689,0.250
0.043921,1,15,Head,0.127258,1.185928,-0.297635,0.132257,-0.100811,-0.027617,0.985689,0.350
0.043921,1,16,LeftShoulder,-0.047593,1.040455,-0.353892,0.132257,-0.100811,-0.027617,0.985689,0.200
0.043921,1,17,RightShoulder,0.284978,1.012878,-0.288806,0.132257,-0.100811,-0.027617,0.985689,0.200
0.043921,1,18,LeftElbow,-0.009364,1.100380,-0.179399,-0.290926,-0.058194,-0.017348,0.954817,0.200
0.043921,1,19,RightElbow,0.202626,0.971515,-0.195832,-0.543677,-0.260852,-0.221712,0.766300,0.200
0.043921,1,20,LeftWrist,0.028865,1.160305,-0.004905,-0.290926,-0.058194,-0.017348,0.954817,0.250
0.043921,1,21,RightWrist,0.120275,0.930152,-0.102859,-0.543677,-0.260852,-0.221712,0.766300,0.250
0.043921,1,22,LeftHand,0.028865,1.160305,-0.004905,-0.290926,-0.058194,-0.017348,0.954817,0.200
0.043921,1,23,RightHand,0.120275,0.930152,-0.102859,-0.543677,-0.260852,-0.221712,0.766300,0.200
0.068310,2,0,Pelvis,0.109956,0.655668,-0.431426,0.117965,-0.096493,-0.029009,0.987893,0.250
0.068310,2,15,Head,0.128958,1.189435,-0.300156,0.117965,-0.096493,-0.029009,0.987893,0.350
0.068310,2,16,LeftShoulder,-0.047068,1.043222,-0.350520,0.117965,-0.096493,-0.029009,0.987893,0.200
0.068310,2,17,RightShoulder,0.286028,1.015994,-0.288026,0.117965,-0.096493,-0.029009,0.987893,0.200
0.068310,2,18,LeftElbow,-0.009099,1.101764,-0.177713,-0.290893,-0.058255,-0.017282,0.954824,0.200
0.068310,2,19,RightElbow,0.204684,0.971693,-0.194158,-0.541945,-0.256672,-0.231978,0.765899,0.200
0.068310,2,20,LeftWrist,0.028870,1.160306,-0.004906,-0.290893,-0.058255,-0.017282,0.954824,0.250
0.068310,2,21,RightWrist,0.123340,0.927391,-0.100290,-0.541945,-0.256672,-0.231978,0.765899,0.250
0.068310,2,22,LeftHand,0.028870,1.160306,-0.004906,-0.290893,-0.058255,-0.017282,0.954824,0.200
0.068310,2,23,RightHand,0.123340,0.927391,-0.100290,-0.541945,-0.256672,-0.231978,0.765899,0.200
0.090340,3,0,Pelvis,0.110085,0.655647,-0.428270,0.114409,-0.095176,-0.028845,0.988443,0.250
0.090340,3,15,Head,0.129471,1.190333,-0.300854,0.114409,-0.095176,-0.028845,0.988443,0.350
0.090340,3,16,LeftShoulder,-0.046701,1.043771,-0.349670,0.114409,-0.095176,-0.028845,0.988443,0.200
0.090340,3,17,RightShoulder,0.286574,1.016978,-0.287943,0.114409,-0.095176,-0.028845,0.988443,0.200
0.090340,3,18,LeftElbow,-0.008915,1.102032,-0.177288,-0.291004,-0.058242,-0.017326,0.954790,0.200
0.090340,3,19,RightElbow,0.205439,0.971845,-0.193748,-0.536747,-0.247353,-0.221574,0.775645,0.200
0.090340,3,20,LeftWrist,0.028870,1.160293,-0.004906,-0.291004,-0.058242,-0.017326,0.954790,0.250
0.090340,3,21,RightWrist,0.124304,0.926711,-0.099553,-0.536747,-0.247353,-0.221574,0.775645,0.250
0.090340,3,22,LeftHand,0.028870,1.160293,-0.004906,-0.291004,-0.058242,-0.017326,0.954790,0.200
0.090340,3,23,RightHand,0.124304,0.926711,-0.099553,-0.536747,-0.247353,-0.221574,0.775645,0.200
0.112706,4,0,Pelvis,0.110406,0.655706,-0.425208,0.111041,-0.093948,-0.028510,0.988954,0.250
0.112706,4,15,Head,0.129945,1.191249,-0.301465,0.111041,-0.093948,-0.028510,0.988954,0.350
0.112706,4,16,LeftShoulder,-0.046305,1.044302,-0.348822,0.111041,-0.093948,-0.028510,0.988954,0.200
0.112706,4,17,RightShoulder,0.287141,1.018036,-0.287796,0.111041,-0.093948,-0.028510,0.988954,0.200
0.112706,4,18,LeftElbow,-0.008720,1.102301,-0.176864,-0.290935,-0.058227,-0.017238,0.954814,0.200
0.112706,4,19,RightElbow,0.205799,0.971889,-0.193035,-0.532645,-0.237776,-0.211097,0.784340,0.200
0.112706,4,20,LeftWrist,0.028865,1.160299,-0.004905,-0.290935,-0.058227,-0.017238,0.954814,0.250
0.112706,4,21,RightWrist,0.124458,0.925742,-0.098274,-0.532645,-0.237776,-0.211097,0.784340,0.250
0.112706,4,22,LeftHand,0.028865,1.160299,-0.004905,-0.290935,-0.058227,-0.017238,0.954814,0.200
0.112706,4,23,RightHand,0.124458,0.925742,-0.098274,-0.532645,-0.237776,-0.211097,0.784340,0.200
0.135019,5,0,Pelvis,0.110465,0.655735,-0.421940,0.107543,-0.092798,-0.028374,0.989453,0.250
0.135019,5,15,Head,0.130369,1.192127,-0.301994,0.107543,-0.092798,-0.028374,0.989453,0.350
0.135019,5,16,LeftShoulder,-0.046015,1.044873,-0.347875,0.107543,-0.092798,-0.028374,0.989453,0.200
0.135019,5,17,RightShoulder,0.287582,1.018996,-0.287513,0.107543,-0.092798,-0.028374,0.989453,0.200
0.135019,5,18,LeftElbow,-0.008577,1.102580,-0.176390,-0.291012,-0.058200,-0.017192,0.954793,0.200
0.135019,5,19,RightElbow,0.206324,0.971688,-0.191995,-0.528066,-0.236741,-0.206948,0.788843,0.200
0.135019,5,20,LeftWrist,0.028860,1.160288,-0.004904,-0.291012,-0.058200,-0.017192,0.954793,0.250
0.135019,5,21,RightWrist,0.125067,0.924380,-0.096477,-0.528066,-0.236741,-0.206948,0.788843,0.250
0.135019,5,22,LeftHand,0.028860,1.160288,-0.004904,-0.291012,-0.058200,-0.017192,0.954793,0.200
0.135019,5,23,RightHand,0.125067,0.924380,-0.096477,-0.528066,-0.236741,-0.206948,0.788843,0.200
0.157109,6,0,Pelvis,0.110329,0.655708,-0.419065,0.104312,-0.091805,-0.028509,0.989888,0.250
0.157109,6,15,Head,0.130837,1.192845,-0.302602,0.104312,-0.091805,-0.028509,0.989888,0.350
0.157109,6,16,LeftShoulder,-0.045741,1.045412,-0.347142,0.104312,-0.091805,-0.028509,0.989888,0.200
0.157109,6,17,RightShoulder,0.287975,1.019710,-0.287368,0.104312,-0.091805,-0.028509,0.989888,0.200
0.157109,6,18,LeftElbow,-0.008436,1.102854,-0.176024,-0.290969,-0.058253,-0.017287,0.954801,0.200
0.157109,6,19,RightElbow,0.207167,0.971451,-0.191025,-0.520441,-0.242484,-0.210264,0.791285,0.200
0.157109,6,20,LeftWrist,0.028870,1.160296,-0.004906,-0.290969,-0.058253,-0.017287,0.954801,0.250
0.157109,6,21,RightWrist,0.126360,0.923192,-0.094682,-0.520441,-0.242484,-0.210264,0.791285,0.250
0.157109,6,22,LeftHand,0.028870,1.160296,-0.004906,-0.290969,-0.058253,-0.017287,0.954801,0.200
0.157109,6,23,RightHand,0.126360,0.923192,-0.094682,-0.520441,-0.242484,-0.210264,0.791285,0.200
0.179492,7,0,Pelvis,0.109911,0.655764,-0.416503,0.101419,-0.091037,-0.028891,0.990248,0.250
0.179492,7,15,Head,0.131224,1.193531,-0.303137,0.101419,-0.091037,-0.028891,0.990248,0.350
0.179492,7,16,LeftShoulder,-0.045598,1.046044,-0.346514,0.101419,-0.091037,-0.028891,0.990248,0.200
0.179492,7,17,RightShoulder,0.288199,1.020311,-0.287205,0.101419,-0.091037,-0.028891,0.990248,0.200
0.179492,7,18,LeftElbow,-0.008369,1.103171,-0.175709,-0.290968,-0.058168,-0.017302,0.954806,0.200
0.179492,7,19,RightElbow,0.207828,0.971488,-0.190445,-0.511972,-0.245341,-0.208978,0.796254,0.200
0.179492,7,20,LeftWrist,0.028860,1.160298,-0.004904,-0.290968,-0.058168,-0.017302,0.954806,0.250
0.179492,7,21,RightWrist,0.127457,0.922666,-0.093685,-0.511972,-0.245341,-0.208978,0.796254,0.250
0.179492,7,22,LeftHand,0.028860,1.160298,-0.004904,-0.290968,-0.058168,-0.017302,0.954806,0.200
0.179492,7,23,RightHand,0.127457,0.922666,-0.093685,-0.511972,-0.245341,-0.208978,0.796254,0.200
0.201788,8,0,Pelvis,0.109284,0.655816,-0.414611,0.099123,-0.090441,-0.029531,0.990517,0.250
0.201788,8,15,Head,0.131599,1.194049,-0.303673,0.099123,-0.090441,-0.029531,0.990517,0.350
0.201788,8,16,LeftShoulder,-0.045516,1.046645,-0.346129,0.099123,-0.090441,-0.029531,0.990517,0.200
0.201788,8,17,RightShoulder,0.288329,1.020658,-0.287203,0.099123,-0.090441,-0.029531,0.990517,0.200
0.201788,8,18,LeftElbow,-0.008323,1.103477,-0.175518,-0.290888,-0.058244,-0.017319,0.954826,0.200
0.201788,8,19,RightElbow,0.208078,0.971335,-0.190023,-0.508775,-0.242847,-0.202469,0.800737,0.200
0.201788,8,20,LeftWrist,0.028870,1.160308,-0.004906,-0.290888,-0.058244,-0.017319,0.954826,0.250
0.201788,8,21,RightWrist,0.127827,0.922013,-0.092844,-0.508775,-0.242847,-0.202469,0.800737,0.250
0.201788,8,22,LeftHand,0.028870,1.160308,-0.004906,-0.290888,-0.058244,-0.017319,0.954826,0.200
0.201788,8,23,RightHand,0.127827,0.922013,-0.092844,-0.508775,-0.242847,-0.202469,0.800737,0.200
0.225496,9,0,Pelvis,0.108625,0.655944,-0.413561,0.097602,-0.090068,-0.030305,0.990678,0.250
0.225496,9,15,Head,0.131980,1.194455,-0.304197,0.097602,-0.090068,-0.030305,0.990678,0.350
0.225496,9,16,LeftShoulder,-0.045431,1.047236,-0.346049,0.097602,-0.090068,-0.030305,0.990678,0.200
0.225496,9,17,RightShoulder,0.288428,1.020842,-0.287385,0.097602,-0.090068,-0.030305,0.990678,0.200
0.225496,9,18,LeftElbow,-0.008283,1.103770,-0.175477,-0.290918,-0.058207,-0.017316,0.954819,0.200
0.225496,9,19,RightElbow,0.208032,0.971561,-0.190301,-0.509548,-0.241288,-0.198736,0.801652,0.200
0.225496,9,20,LeftWrist,0.028865,1.160305,-0.004905,-0.290918,-0.058207,-0.017316,0.954819,0.250
0.225496,9,21,RightWrist,0.127636,0.922280,-0.093216,-0.509548,-0.241288,-0.198736,0.801652,0.250
0.225496,9,22,LeftHand,0.028865,1.160305,-0.004905,-0.290918,-0.058207,-0.017316,0.954819,0.200
0.225496,9,23,RightHand,0.127636,0.922280,-0.093216,-0.509548,-0.241288,-0.198736,0.801652,0.200
0.245330,10,0,Pelvis,0.107969,0.656093,-0.412833,0.096431,-0.089952,-0.031062,0.990780,0.250
0.245330,10,15,Head,0.132281,1.194802,-0.304663,0.096431,-0.089952,-0.031062,0.990780,0.350
0.245330,10,16,LeftShoulder,-0.045398,1.047790,-0.346110,0.096431,-0.089952,-0.031062,0.990780,0.200
0.245330,10,17,RightShoulder,0.288444,1.020964,-0.287543,0.096431,-0.089952,-0.031062,0.990780,0.200
0.245330,10,18,LeftElbow,-0.008266,1.104047,-0.175507,-0.290918,-0.058207,-0.017316,0.954819,0.200
0.245330,10,19,RightElbow,0.208040,0.971622,-0.190380,-0.509548,-0.241288,-0.198736,0.801652,0.200
0.245330,10,20,LeftWrist,0.028865,1.160305,-0.004905,-0.290918,-0.058207,-0.017316,0.954819,0.250
0.245330,10,21,RightWrist,0.127636,0.922280,-0.093216,-0.509548,-0.241288,-0.198736,0.801652,0.250
0.245330,10,22,LeftHand,0.028865,1.160305,-0.004905,-0.290918,-0.058207,-0.017316,0.954819,0.200
0.245330,10,23,RightHand,0.127636,0.922280,-0.093216,-0.509548,-0.241288,-0.198736,0.801652,0.200
0.267470,11,0,Pelvis,0.107722,0.656343,-0.412136,0.095368,-0.090130,-0.031479,0.990854,0.250
0.267470,11,15,Head,0.132577,1.195249,-0.305070,0.095368,-0.090130,-0.031479,0.990854,0.350
0.267470,11,16,LeftShoulder,-0.045247,1.048337,-0.346248,0.095368,-0.090130,-0.031479,0.990854,0.200
0.267470,11,17,RightShoulder,0.288555,1.021283,-0.287562,0.095368,-0.090130,-0.031479,0.990854,0.200
0.267470,11,18,LeftElbow,-0.008191,1.104321,-0.175577,-0.290918,-0.058207,-0.017316,0.954819,0.200
0.267470,11,19,RightElbow,0.208096,0.971782,-0.190389,-0.509548,-0.241288,-0.198736,0.801652,0.200
0.267470,11,20,LeftWrist,0.028865,1.160305,-0.004905,-0.290918,-0.058207,-0.017316,0.954819,0.250
0.267470,11,21,RightWrist,0.127636,0.922280,-0.093216,-0.509548,-0.241288,-0.198736,0.801652,0.250
0.267470,11,22,LeftHand,0.028865,1.160305,-0.004905,-0.290918,-0.058207,-0.017316,0.954819,0.200
0.267470,11,23,RightHand,0.127636,0.922280,-0.093216,-0.509548,-0.241288,-0.198736,0.801652,0.200
0.290031,12,0,Pelvis,0.107605,0.656374,-0.411176,0.094137,-0.090268,-0.031763,0.990950,0.250
0.290031,12,15,Head,0.132880,1.195516,-0.305409,0.094137,-0.090268,-0.031763,0.990950,0.350
0.290031,12,16,LeftShoulder,-0.045057,1.048649,-0.346255,0.094137,-0.090268,-0.031763,0.990950,0.200
0.290031,12,17,RightShoulder,0.288716,1.021467,-0.287461,0.094137,-0.090268,-0.031763,0.990950,0.200
0.290031,12,18,LeftElbow,-0.008096,1.104477,-0.175580,-0.290918,-0.058207,-0.017316,0.954819,0.200
0.290031,12,19,RightElbow,0.208176,0.971874,-0.190339,-0.509548,-0.241288,-0.198736,0.801652,0.200
0.290031,12,20,LeftWrist,0.028865,1.160305,-0.004905,-0.290918,-0.058207,-0.017316,0.954819,0.250
0.290031,12,21,RightWrist,0.127636,0.922280,-0.093216,-0.509548,-0.241288,-0.198736,0.801652,0.250
0.290031,12,22,LeftHand,0.028865,1.160305,-0.004905,-0.290918,-0.058207,-0.017316,0.954819,0.200
0.290031,12,23,RightHand,0.127636,0.922280,-0.093216,-0.509548,-0.241288,-0.198736,0.801652,0.200
0.312129,13,0,Pelvis,0.107030,0.656473,-0.410452,0.093115,-0.090336,-0.032408,0.991019,0.250
0.312129,13,15,Head,0.133106,1.195780,-0.305726,0.093115,-0.090336,-0.032408,0.991019,0.350
0.312129,13,16,LeftShoulder,-0.045049,1.049096,-0.346277,0.093115,-0.090336,-0.032408,0.991019,0.200
0.312129,13,17,RightShoulder,0.288687,1.021537,-0.287452,0.093115,-0.090336,-0.032408,0.991019,0.200
0.312129,13,18,LeftElbow,-0.008092,1.104701,-0.175591,-0.290918,-0.058207,-0.017316,0.954819,0.200
0.312129,13,19,RightElbow,0.208162,0.971909,-0.190334,-0.509548,-0.241288,-0.198736,0.801652,0.200
0.312129,13,20,LeftWrist,0.028865,1.160305,-0.004905,-0.290918,-0.058207,-0.017316,0.954819,0.250
0.312129,13,21,RightWrist,0.127636,0.922280,-0.093216,-0.509548,-0.241288,-0.198736,0.801652,0.250
0.312129,13,22,LeftHand,0.028865,1.160305,-0.004905,-0.290918,-0.058207,-0.017316,0.954819,0.200
0.312129,13,23,RightHand,0.127636,0.922280,-0.093216,-0.509548,-0.241288,-0.198736,0.801652,0.200
0.334612,14,0,Pelvis,0.106343,0.656676,-0.409479,0.091959,-0.090347,-0.033117,0.991103,0.250
0.334612,14,15,Head,0.133308,1.196168,-0.305933,0.091959,-0.090347,-0.033117,0.991103,0.350
0.334612,14,16,LeftShoulder,-0.045092,1.049683,-0.346129,0.091959,-0.090347,-0.033117,0.991103,0.200
0.334612,14,17,RightShoulder,0.288612,1.021715,-0.287311,0.091959,-0.090347,-0.033117,0.991103,0.200
0.334612,14,18,LeftElbow,-0.008113,1.104994,-0.175517,-0.290918,-0.058207,-0.017316,0.954819,0.200
0.334612,14,19,RightElbow,0.208124,0.971997,-0.190264,-0.509548,-0.241288,-0.198736,0.801652,0.200
0.334612,14,20,LeftWrist,0.028865,1.160305,-0.004905,-0.290918,-0.058207,-0.017316,0.954819,0.250
0.334612,14,21,RightWrist,0.127636,0.922280,-0.093216,-0.509548,-0.241288,-0.198736,0.801652,0.250
0.334612,14,22,LeftHand,0.028865,1.160305,-0.004905,-0.290918,-0.058207,-0.017316,0.954819,0.200
0.334612,14,23,RightHand,0.127636,0.922280,-0.093216,-0.509548,-0.241288,-0.198736,0.801652,0.200
0.355901,15,0,Pelvis,0.105753,0.656820,-0.408224,0.090524,-0.090386,-0.033698,0.991212,0.250
0.355901,15,15,Head,0.133495,1.196557,-0.306173,0.090524,-0.090386,-0.033698,0.991212,0.350
0.355901,15,16,LeftShoulder,-0.045117,1.050214,-0.345939,0.090524,-0.090386,-0.033698,0.991212,0.200
0.355901,15,17,RightShoulder,0.288556,1.021937,-0.287091,0.090524,-0.090386,-0.033698,0.991212,0.200
0.355901,15,18,LeftElbow,-0.008126,1.105259,-0.175422,-0.290918,-0.058207,-0.017316,0.954819,0.200
0.355901,15,19,RightElbow,0.208096,0.972109,-0.190154,-0.509548,-0.241288,-0.198736,0.801652,0.200
0.355901,15,20,LeftWrist,0.028865,1.160305,-0.004905,-0.290918,-0.058207,-0.017316,0.954819,0.250
0.355901,15,21,RightWrist,0.127636,0.922280,-0.093216,-0.509548,-0.241288,-0.198736,0.801652,0.250
0.355901,15,22,LeftHand,0.028865,1.160305,-0.004905,-0.290918,-0.058207,-0.017316,0.954819,0.200
0.355901,15,23,RightHand,0.127636,0.922280,-0.093216,-0.509548,-0.241288,-0.198736,0.801652,0.200
0.378240,16,0,Pelvis,0.105287,0.656823,-0.407138,0.089270,-0.090372,-0.034135,0.991312,0.250
0.378240,16,15,Head,0.133635,1.196775,-0.306400,0.089270,-0.090372,-0.034135,0.991312,0.350
0.378240,16,16,LeftShoulder,-0.045144,1.050530,-0.345774,0.089270,-0.090372,-0.034135,0.991312,0.200
0.378240,16,17,RightShoulder,0.288510,1.022034,-0.286928,0.089270,-0.090372,-0.034135,0.991312,0.200
0.378240,16,18,LeftElbow,-0.008139,1.105417,-0.175340,-0.290918,-0.058207,-0.017316,0.954819,0.200
0.378240,16,19,RightElbow,0.208073,0.972157,-0.190072,-0.509548,-0.241288,-0.198736,0.801652,0.200
0.378240,16,20,LeftWrist,0.028865,1.160305,-0.004905,-0.290918,-0.058207,-0.017316,0.954819,0.250
0.378240,16,21,RightWrist,0.127636,0.922280,-0.093216,-0.509548,-0.241288,-0.198736,0.801652,0.250
0.378240,16,22,LeftHand,0.028865,1.160305,-0.004905,-0.290918,-0.058207,-0.017316,0.954819,0.200
0.378240,16,23,RightHand,0.127636,0.922280,-0.093216,-0.509548,-0.241288,-0.198736,0.801652,0.200
0.400755,17,0,Pelvis,0.104909,0.656915,-0.406446,0.088421,-0.090429,-0.034517,0.991369,0.250
0.400755,17,15,Head,0.133754,1.197004,-0.306590,0.088421,-0.090429,-0.034517,0.991369,0.350
0.400755,17,16,LeftShoulder,-0.045160,1.050859,-0.345721,0.088421,-0.090429,-0.034517,0.991369,0.200
0.400755,17,17,RightShoulder,0.288469,1.022153,-0.286836,0.088421,-0.090429,-0.034517,0.991369,0.200
0.400755,17,18,LeftElbow,-0.008147,1.105582,-0.175313,-0.290918,-0.058207,-0.017316,0.954819,0.200
0.400755,17,19,RightElbow,0.208053,0.972217,-0.190026,-0.509548,-0.241288,-0.198736,0.801652,0.200
0.400755,17,20,LeftWrist,0.028865,1.160305,-0.004905,-0.290918,-0.058207,-0.017316,0.954819,0.250
0.400755,17,21,RightWrist,0.127636,0.922280,-0.093216,-0.509548,-0.241288,-0.198736,0.801652,0.250
0.400755,17,22,LeftHand,0.028865,1.160305,-0.004905,-0.290918,-0.058207,-0.017316,0.954819,0.200
0.400755,17,23,RightHand,0.127636,0.922280,-0.093216,-0.509548,-0.241288,-0.198736,0.801652,0.200
0.423413,18,0,Pelvis,0.104629,0.657110,-0.405559,0.087413,-0.090609,-0.034708,0.991436,0.250
0.423413,18,15,Head,0.133769,1.197379,-0.306769,0.087413,-0.090609,-0.034708,0.991436,0.350
0.423413,18,16,LeftShoulder,-0.045222,1.051262,-0.345654,0.087413,-0.090609,-0.034708,0.991436,0.200
0.423413,18,17,RightShoulder,0.288376,1.022477,-0.286630,0.087413,-0.090609,-0.034708,0.991436,0.200
0.423413,18,18,LeftElbow,-0.008178,1.105783,-0.175279,-0.290918,-0.058207,-0.017316,0.954819,0.200
0.423413,18,19,RightElbow,0.208006,0.972378,-0.189923,-0.509548,-0.241288,-0.198736,0.801652,0.200
0.423413,18,20,LeftWrist,0.028865,1.160305,-0.004905,-0.290918,-0.058207,-0.017316,0.954819,0.250
0.423413,18,21,RightWrist,0.127636,0.922280,-0.093216,-0.509548,-0.241288,-0.198736,0.801652,0.250
0.423413,18,22,LeftHand,0.028865,1.160305,-0.004905,-0.290918,-0.058207,-0.017316,0.954819,0.200
0.423413,18,23,RightHand,0.127636,0.922280,-0.093216,-0.509548,-0.241288,-0.198736,0.801652,0.200
0.444959,19,0,Pelvis,0.104059,0.657196,-0.404200,0.085930,-0.091213,-0.035093,0.991496,0.250
0.444959,19,15,Head,0.133711,1.197719,-0.306960,0.085930,-0.091213,-0.035093,0.991496,0.350
0.444959,19,16,LeftShoulder,-0.045406,1.051690,-0.345599,0.085930,-0.091213,-0.035093,0.991496,0.200
0.444959,19,17,RightShoulder,0.288100,1.022701,-0.286152,0.085930,-0.091213,-0.035093,0.991496,0.200
0.444959,19,18,LeftElbow,-0.008270,1.105998,-0.175252,-0.290918,-0.058207,-0.017316,0.954819,0.200
0.444959,19,19,RightElbow,0.207868,0.972490,-0.189684,-0.509548,-0.241288,-0.198736,0.801652,0.200
0.444959,19,20,LeftWrist,0.028865,1.160305,-0.004905,-0.290918,-0.058207,-0.017316,0.954819,0.250
0.444959,19,21,RightWrist,0.127636,0.922280,-0.093216,-0.509548,-0.241288,-0.198736,0.801652,0.250
0.444959,19,22,LeftHand,0.028865,1.160305,-0.004905,-0.290918,-0.058207,-0.017316,0.954819,0.200
0.444959,19,23,RightHand,0.127636,0.922280,-0.093216,-0.509548,-0.241288,-0.198736,0.801652,0.200
0.467387,20,0,Pelvis,0.103324,0.657214,-0.403214,0.084719,-0.092150,-0.035660,0.991494,0.250
0.467387,20,15,Head,0.133629,1.197921,-0.307201,0.084719,-0.092150,-0.035660,0.991494,0.350
0.467387,20,16,LeftShoulder,-0.045643,1.052071,-0.345797,0.084719,-0.092150,-0.035660,0.991494,0.200
0.467387,20,17,RightShoulder,0.287718,1.022720,-0.285722,0.084719,-0.092150,-0.035660,0.991494,0.200
0.467387,20,18,LeftElbow,-0.008389,1.106188,-0.175351,-0.290918,-0.058207,-0.017316,0.954819,0.200
0.467387,20,19,RightElbow,0.207677,0.972500,-0.189469,-0.509548,-0.241288,-0.198736,0.801652,0.200
0.467387,20,20,LeftWrist,0.028865,1.160305,-0.004905,-0.290918,-0.058207,-0.017316,0.954819,0.250
0.467387,20,21,RightWrist,0.127636,0.922280,-0.093216,-0.509548,-0.241288,-0.198736,0.801652,0.250
0.467387,20,22,LeftHand,0.028865,1.160305,-0.004905,-0.290918,-0.058207,-0.017316,0.954819,0.200
0.467387,20,23,RightHand,0.127636,0.922280,-0.093216,-0.509548,-0.241288,-0.198736,0.801652,0.200
0.491244,21,0,Pelvis,0.102734,0.657319,-0.402885,0.084062,-0.093228,-0.036111,0.991432,0.250
0.491244,21,15,Head,0.133494,1.198111,-0.307506,0.084062,-0.093228,-0.036111,0.991432,0.350
0.491244,21,16,LeftShoulder,-0.045874,1.052428,-0.346276,0.084062,-0.093228,-0.036111,0.991432,0.200
0.491244,21,17,RightShoulder,0.287329,1.022753,-0.285488,0.084062,-0.093228,-0.036111,0.991432,0.200
0.491244,21,18,LeftElbow,-0.008504,1.106366,-0.175591,-0.290918,-0.058207,-0.017316,0.954819,0.200
0.491244,21,19,RightElbow,0.207483,0.972517,-0.189352,-0.509548,-0.241288,-0.198736,0.801652,0.200
0.491244,21,20,LeftWrist,0.028865,1.160305,-0.004905,-0.290918,-0.058207,-0.017316,0.954819,0.250
0.491244,21,21,RightWrist,0.127636,0.922280,-0.093216,-0.509548,-0.241288,-0.198736,0.801652,0.250
0.491244,21,22,LeftHand,0.028865,1.160305,-0.004905,-0.290918,-0.058207,-0.017316,0.954819,0.200
0.491244,21,23,RightHand,0.127636,0.922280,-0.093216,-0.509548,-0.241288,-0.198736,0.801652,0.200
0.510810,22,0,Pelvis,0.102260,0.657485,-0.402557,0.083435,-0.094390,-0.036428,0.991364,0.250
0.510810,22,15,Head,0.133322,1.198368,-0.307788,0.083435,-0.094390,-0.036428,0.991364,0.350
0.510810,22,16,LeftShoulder,-0.046098,1.052805,-0.346774,0.083435,-0.094390,-0.036428,0.991364,0.200
0.510810,22,17,RightShoulder,0.286941,1.022893,-0.285210,0.083435,-0.094390,-0.036428,0.991364,0.200
0.510810,22,18,LeftElbow,-0.008616,1.106555,-0.175840,-0.290918,-0.058207,-0.017316,0.954819,0.200
0.510810,22,19,RightElbow,0.207289,0.972587,-0.189213,-0.509548,-0.241288,-0.198736,0.801652,0.200
0.510810,22,20,LeftWrist,0.028865,1.160305,-0.004905,-0.290918,-0.058207,-0.017316,0.954819,0.250
0.510810,22,21,RightWrist,0.127636,0.922280,-0.093216,-0.509548,-0.241288,-0.198736,0.801652,0.250
0.510810,22,22,LeftHand,0.028865,1.160305,-0.004905,-0.290918,-0.058207,-0.017316,0.954819,0.200
0.510810,22,23,RightHand,0.127636,0.922280,-0.093216,-0.509548,-0.241288,-0.198736,0.801652,0.200
0.532616,23,0,Pelvis,0.102187,0.657683,-0.401878,0.082551,-0.095544,-0.036353,0.991330,0.250
0.532616,23,15,Head,0.133152,1.198733,-0.308039,0.082551,-0.095544,-0.036353,0.991330,0.350
0.532616,23,16,LeftShoulder,-0.046212,1.053137,-0.347159,0.082551,-0.095544,-0.036353,0.991330,0.200
0.532616,23,17,RightShoulder,0.286682,1.023268,-0.284793,0.082551,-0.095544,-0.036353,0.991330,0.200
0.532616,23,18,LeftElbow,-0.008673,1.106721,-0.176032,-0.290918,-0.058207,-0.017316,0.954819,0.200
0.532616,23,19,RightElbow,0.207159,0.972774,-0.189005,-0.509548,-0.241288,-0.198736,0.801652,0.200
0.532616,23,20,LeftWrist,0.028865,1.160305,-0.004905,-0.290918,-0.058207,-0.017316,0.954819,0.250
0.532616,23,21,RightWrist,0.127636,0.922280,-0.093216,-0.509548,-0.241288,-0.198736,0.801652,0.250
0.532616,23,22,LeftHand,0.028865,1.160305,-0.004905,-0.290918,-0.058207,-0.017316,0.954819,0.200
0.532616,23,23,RightHand,0.127636,0.922280,-0.093216,-0.509548,-0.241288,-0.198736,0.801652,0.200
0.555075,24,0,Pelvis,0.102080,0.657634,-0.401022,0.081451,-0.096697,-0.036268,0.991312,0.250
0.555075,24,15,Head,0.132965,1.198890,-0.308347,0.081451,-0.096697,-0.036268,0.991312,0.350
0.555075,24,16,LeftShoulder,-0.046346,1.053246,-0.347533,0.081451,-0.096697,-0.036268,0.991312,0.200
0.555075,24,17,RightShoulder,0.286402,1.023442,-0.284359,0.081451,-0.096697,-0.036268,0.991312,0.200
0.555075,24,18,LeftElbow,-0.008740,1.106775,-0.176219,-0.290918,-0.058207,-0.017316,0.954819,0.200
0.555075,24,19,RightElbow,0.207019,0.972861,-0.188788,-0.509548,-0.241288,-0.198736,0.801652,0.200
0.555075,24,20,LeftWrist,0.028865,1.160305,-0.004905,-0.290918,-0.058207,-0.017316,0.954819,0.250
0.555075,24,21,RightWrist,0.127636,0.922280,-0.093216,-0.509548,-0.241288,-0.198736,0.801652,0.250
0.555075,24,22,LeftHand,0.028865,1.160305,-0.004905,-0.290918,-0.058207,-0.017316,0.954819,0.200
0.555075,24,23,RightHand,0.127636,0.922280,-0.093216,-0.509548,-0.241288,-0.198736,0.801652,0.200
